Company,# Employees,Website,Company Linkedin Url,Apollo Account Id
Planet Technology,8,http://www.planet.com.tw,http://www.linkedin.com/company/planet-technology-hq,622234fa11146f000118e452
BRP,6100,http://www.brp.com,http://www.linkedin.com/company/brp,6230bd8ceaaa2001160fa44b
"IMA Financial Group, Inc.",2200,http://www.imacorp.com,http://www.linkedin.com/company/ima-financial-group-inc,623e7190a54da200a530ce9a
Altruista Health,520,http://www.altruistahealth.com,http://www.linkedin.com/company/altruista-health,623f4e4de7308b0001affb5b
KOMMLINk GmbH,13,http://www.kommlink.de,http://www.linkedin.com/company/kommlink-gmbh,623f4e4de7308b0001affb8f
Periscope Holdings,97,http://www.periscopeholdings.com,http://www.linkedin.com/company/periscope-holdings,623f4e4de7308b0001affba1
Resiliency LLC,3,http://www.resiliency.us,http://www.linkedin.com/company/resiliency-llc,623f4e4de7308b0001affba7
The Hired Guns,18,http://www.thehiredguns.com,http://www.linkedin.com/company/thehiredguns,623f4e4de7308b0001affbb4
Zendesk,6700,http://www.zendesk.com,http://www.linkedin.com/company/zendesk,623f4e4de7308b0001affbc2
Texas Capital Bank,1900,http://www.texascapitalbank.com,http://www.linkedin.com/company/texas-capital-bank,61f805fb0d4ff40001b1c0eb
Cardinal Health,30000,http://www.cardinalhealth.com,http://www.linkedin.com/company/cardinal-health,61f805fb0d4ff40001b1c12f
Molina Healthcare,11000,http://www.molinahealthcare.com,http://www.linkedin.com/company/molina-healthcare,61fd51a6ad5cfa0001b69114
Elevate,50,http://www.elevateapp.com,http://www.linkedin.com/company/elevate-labs-llc,620176553e1b060001a1fb35
"Metasys Technologies, Inc.",160,http://www.metasysinc.com,http://www.linkedin.com/company/metasys-technologies-inc-,620176553e1b060001a1fbe5
Johnson Controls,71000,http://www.johnsoncontrols.com,http://www.linkedin.com/company/johnson-controls,620a7b18c47acf00010f4ee5
Micasa Global,30,http://www.micasaglobal.com,http://www.linkedin.com/company/micasa-global,62152ff5a2911b00019101cb
Modis,9100,http://www.modis.com,http://www.linkedin.com/company/modis,62152ff5a2911b00019101ce
STAND 8 Technology Services,180,http://www.stand8.io,http://www.linkedin.com/company/westand8,62152ff5a2911b00019101fa
HireGenics,"","","",622a378df04896000113eb52
Lehigh Hanson,2200,http://www.lehighhanson.com,http://www.linkedin.com/company/lehigh-hanson,623e71284b2c2000a5e825ec
MATRIX Resources,1100,http://www.matrixres.com,http://www.linkedin.com/company/matrix-resources,623e723c816b6e00a55e6e9b
ComTec Information Systems (IT),240,http://www.comtecinfo.com,http://www.linkedin.com/company/comtec-information,623f1d09ab4ac700dc6db5a5
BCD Meetings & Events,1400,http://www.bcdme.com,http://www.linkedin.com/company/bcdme,623f4e4de7308b0001affb60
